 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
07.09.04	-         	Remoção, Incineração De Lixo, Rejeitos E Outros Resíduos Quaisquer.	---	3.50		01/2026	12/2026	0709
07.09.05	-         	Tratamento, Reciclagem, Separação E Destinação Final De Lixo, Rejeitos E Outros Resíduos Quaisquer.	---	3.50		01/2026	12/2026	0709
07.10.01	-         	Limpeza, Manutenção E Conservação De Vias E Logradouros Públicos.	---	2.00		01/2026	12/2026	0710
07.10.02	-         	Limpeza, Manutenção E Conservação De Piscinas.	---	2.00		01/2026	12/2026	0710
07.10.03	-         	Limpeza, Manutenção E Conservação De Imóveis, Estruturas, Tanques, Chaminés, Dutos E Congêneres, Por Método Mecânico, Químico, Abrasivo Ou Outro.	---	2.00		01/2026	12/2026	0710
07.10.04	-         	Desentupidora De Esgotos, Fossas E Congêneres.	---	2.00		01/2026	12/2026	0710
07.11.01	-         	Decoração.	---	2.00		01/2026	12/2026	0711
07.11.02	-         	Jardinagem, Inclusive Corte E Poda De Árvores.	---	2.00		01/2026	12/2026	0711
07.11.03	-         	Jardineiro	---	2.00		01/2026	12/2026	0711
07.12.00	-         	Controle E Tratamento De Efluentes De Qualquer Natureza E De Agentes Físicos, Químicos E Biológicos.	---	4.00		01/2026	12/2026	0712
07.13.01	-         	Dedetização, Desinsetização, Imunização, Desratização, Pulverização E Congêneres.	---	2.00		01/2026	12/2026	0713
07.13.02	-         	Desinfecção	---	2.00		01/2026	12/2026	0713
07.13.03	-         	Higienização	---	2.00		01/2026	12/2026	0713
07.13.04	-         	Pulverização Aérea	---	2.00		01/2026	12/2026	0713
07.14.00	-         	Tratamento De Esgoto	---	0.00		01/2026	12/2026	0714
07.15.00	-         	(Vetado)	---	0.00		01/2026	12/2026	0715
07.16.01	-         	Florestamento	---	3.00		01/2026	12/2026	0716
07.16.02	-         	Reflorestamento, Semeadura, Adubação, Reparação De Solo, Plantio, Silagem, Colheita, Corte E Descascamento De Árvores, Silvicultura, Exploração Florestal E Dos Serviços Congêneres Indissociáveis Da Formação, Manutenção E Colheita De Florestas, Para Quaisquer Fins E Por Quaisquer Meios.	---	3.00		01/2026	12/2026	0716
07.16.03	-         	Mecanização Agrícola	---	3.00		01/2026	12/2026	0716
07.16.04	-         	Aviação Agrícola	---	3.00		01/2026	12/2026	0716
07.17.00	-         	Escoramento, Contenção De Encostas E Serviços Congêneres.	---	2.50		01/2026	12/2026	0717
