Codigo;Descricao
105021451;Serviços de transporte aquaviário por navegação interior de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105021452;Serviços de transporte aquaviário por navegação interior de produtos químicos perigosos, exceto lubrificantes e GLP
105021459;Serviços de transporte aquaviário por navegação interior de produtos perigosos não classificados em subposições anteriores
105021490;Serviços de transporte aquaviário por navegação interior de cargas especiais não classificados em subposições anteriores
105021900;Serviços de transporte aquaviário por navegação interior de cargas não classificados em subposições anteriores
105022;Serviços de transporte aquaviário costeiro de cargas
1050221;Serviços de transporte aquaviário costeiro de cargas a granel
105022110;Serviços de transporte aquaviário costeiro de cargas sólidas a granel
105022120;Serviços de transporte aquaviário costeiro de cargas líquidas ou liquefeitas, a granel
105022130;Serviços de transporte aquaviário costeiro de cargas gasosas a granel
1050222;Serviços de transporte aquaviário costeiro de cargas em geral, exceto em contêineres
105022210;Serviços de transporte aquaviário costeiro de carga solta, não unitizada
105022220;Serviços de transporte aquaviário costeiro de carga unitizada
105022230;Serviços de transporte aquaviário costeiro de carga frigorificada ou climatizada
1050223;Serviços de transporte aquaviário costeiro de cargas em contêineres
105022310;Serviços de transporte aquaviário costeiro de cargas em contêineres frigorificados ou climatizados
105022320;Serviços de transporte aquaviário costeiro de cargas em contêineres não classificados em subposições anteriores
1050224;Serviços de transporte aquaviário costeiro de cargas especiais
105022410;Serviços de transporte aquaviário costeiro de cargas vivas
105022420;Serviços de transporte aquaviário costeiro de mudanças domésticas e de mobília e outros objetos de escritório
105022430;Serviços de transporte aquaviário costeiro de cargas de grande porte
105022440;Serviços de transporte aquaviário costeiro de veículos
10502245;Serviços de transporte aquaviário costeiro de produtos perigosos
105022451;Serviços de transporte aquaviário costeiro de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105022452;Serviços de transporte aquaviário costeiro de produtos químicos perigosos, exceto lubrificantes e GLP
105022459;Serviços de transporte aquaviário costeiro de produtos perigosos não classificados em subposições anteriores
105022900;Serviços de transportes aquaviário costeiro de cargas não classificados em subposições anteriores
105023;Serviços de transporte aquaviário transoceânico de cargas
1050231;Serviços de transporte aquaviário transoceânico de cargas a granel
105023110;Serviços de transporte aquaviário transoceânico de cargas sólidas a granel
105023120;Serviços de transporte aquaviário transoceânico de cargas líquidas, ou liquefeitas, a granel
105023130;Serviços de transporte aquaviário transoceânico de cargas gasosas a granel
1050232;Serviços de transporte aquaviário transoceânico de carga geral, exceto em contêineres
105023210;Serviços de transporte aquaviário transoceânico de carga solta, não unitizada
105023220;Serviços de transporte aquaviário transoceânico de carga unitizada
105023230;Serviços de transporte aquaviário transoceânico de carga frigorificada ou climatizada
1050233;Serviços de transporte aquaviário transoceânico de cargas em contêineres
105023310;Serviços de transporte aquaviário transoceânico de cargas em contêineres frigorificados ou climatizados
105023320;Serviços de transporte aquaviário transoceânico de cargas em contêineres não frigorificados ou climatizados
1050234;Serviços de transporte aquaviário transoceânico de cargas especiais
105023410;Serviços de transporte aquaviário transoceânico de cargas vivas
105023420;Serviços de transporte aquaviário transoceânico de mudanças domésticas e de mobília e outros objetos de escritório
105023430;Serviços de transporte aquaviário transoceânico de cargas de grande porte
105023440;Serviços de transporte aquaviário transoceânico de veículos
10502345;Serviços de transporte aquaviário transoceânico de produtos perigosos
105023451;Serviços de transporte aquaviário transoceânico de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105023452;Serviços de transporte aquaviário transoceânico de produtos químicos perigosos, exceto lubrificantes e GLP
105023459;Serviços de transporte aquaviário transoceânico de produtos perigosos não classificados em subposições anteriores
105023900;Serviços de transporte aquaviário transoceânico de cargas não classificados em subposições anteriores
10503;Serviços de transporte aéreo de cargas
105031;Serviços de transporte aéreo de cargas em contêineres
105031100;Serviços de transporte aéreo de cargas em contêineres frigorificados ou climatizados
105031200;Serviços de transporte aéreo de cargas em contêineres não frigorificados ou climatizados
105032;Serviços de transporte aéreo de cargas especiais 
105032100;Serviços de transporte aéreo de produtos perigosos
105032200;Serviços de transporte aéreo de cargas vivas
105032300;Serviços de transporte aéreo de máquinas e veículos
105032400;Serviços de transporte aéreo de produtos perecíveis
105032500;Serviços de transporte aéreo de cargas frágeis
105032600;Serviços de transporte aéreo de cargas controladas
105032700;Serviços de transporte aéreo de valores
105032800;Serviços de transporte aéreo de cargas postais, remessas expressas e cargas congêneres
105032900;Serviços de transporte aéreo de cargas especiais não classificados em subposições anteriores
105039000;Serviços de transporte aéreo de cargas não classificados em subposições anteriores
10504;Serviços de transporte multimodal de cargas
105041;Serviços de transporte multimodal de cargas a granel
